Time,P_HP,H_industry,H_HV_refuel,P_electrolysis_H2,Q_storage_charge,P_electrolysis_fuel,H_storage_discharge,D_EV,P_wind,Q_CHP,Q_storage,SOC_HV,P_EV_charge,F_ICV_refuel,Q_buildings_th,CO2_captured,SOC_EV,F_E2F,P_CHP,H_fuelcell,P_solar,P_fuelcell,F_industry,Cert_purchase,H_electrolysis,P_electrolysis,D_HV,P_buildings_elec,E_storage,H_storage,P_storage_charge,H_storage_charge,P_industry_elec,P_EV_V2G,Emissions_total,P_CCUS,SOC_ICV,Q_HP,P_storage_discharge,D_ICV,F_fuel,P_grid,Q_storage_discharge,F_CHP,Q_industry_th
1,1.6153862307125843e-6,47.601876747805505,49.17242685219197,92.07712631056772,9.361451207609568,207.92285169051786,41.52803162002287,100.4738101772018,263.6642541215405,411.861432251655,100.0,5000.0,5.169074631230392e-6,2.3986219833938173e-5,162.5,311.8843974683393,300.0,62.376855507155355,360.3787532201981,1.1351843654576609e-6,1.2965265537767092e-10,6.81110619274596e-7,109.84869960408807,0.0,55.24627578634063,299.9999780010856,43.60670308391466,96.00001010816898,100.0,100.0,2.9429667304311193e-6,2.6711816806678537e-6,340.0000094982122,2.7432910795367055e-6,311.8844150884522,62.37687977158213,30000.0,4.846158692137753e-6,43.64150017287353,155.91948673888356,246.53822700478577,130.6923761673329,1.3625180015983828e-5,199.06635892163322,240.0
2,3.824059175929655e-6,54.52258069996828,16.87135725270437,118.9898601559895,1.2261670374013364e-5,181.01013898786925,2.5870344883127748e-5,73.12992881314348,275.1737239107812,337.94659336575387,98.89336430493434,5036.090415927018,0.5386351184820876,5.957750285932124e-5,150.0,271.51550638167475,279.90523982707936,54.30304169636078,295.7032691950346,1.0635424072951464e-6,1.1999887283000662e-10,6.381254443770875e-7,92.64602518053968,0.0,71.3939160935937,299.99999914385876,36.3417977610688,90.23979735947673,52.06158156121468,55.286285042861685,1.2246732689006327e-5,2.947723527622466e-6,372.9577442702967,1.7876392830501502e-6,325.26504363381156,54.303101571196954,29906.44833194289,1.1472177527788952e-5,3.778371726390456e-6,90.52827342578773,201.6838965217961,247.1622942240309,37.053406276521194,163.34085346011435,225.0
3,3.824048602497741e-6,45.63044750923396,17.235223145544417,104.776103574819,5.2629747125209905,195.22389556903906,1.2865137391859723e-5,56.794917723388025,218.50120466973746,367.76295102796047,50.00045396879492,5042.059233851402,0.5419716909276052,5.957859633050995e-5,137.5,292.83614125190525,265.7909554407428,58.56716867071172,321.7925821494654,1.0635424147074199e-6,1.1999887245477056e-10,6.381254488244526e-7,106.18850691732031,0.0,62.8656621448914,299.9999991438581,30.764279159997518,82.27496308505012,51.02035758715305,54.73339776082843,6.129634915167921e-5,3.2917079993275333e-6,350.6450538990917,1.7876392922185975e-6,351.2412354599978,58.567228545243054,29852.13142746492,1.147214580749321e-5,2.9635901220235317e-6,62.44080311661447,225.37349082205245,251.7354892758907,1.1065200095588173e-5,177.75209299684755,225.0
4,1.6490836138544822e-5,50.44429807776297,51.54584738678998,169.98356948686225,5.262968112223198,130.01643084590393,8.530227641938463e-6,37.76504078803793,168.87476113966878,340.2629036838125,50.000222901231325,5050.065173248947,99.99999190901913,706.2957481883066,125.0,923.5614597735797,254.94684301618054,39.00492925377118,297.73004072333595,1.026586940399732e-6,1.1449952368054635e-10,6.159521642398402e-7,94.42817751136656,0.0,101.99014169211735,300.00000033276615,23.46197576345378,107.99998200810201,50.00000554737313,54.186053368092864,1.0526443264563508,3.731205103258557e-6,449.99998257822335,1.4908580935488137e-6,1264.7594514059663,184.7122922601562,29814.667005173545,4.947250841563441e-5,2.9098531796085173e-6,38.77298344850829,926.179399893078,677.1601030257767,1.0008651432284908e-5,164.46040344717602,210.0
5,1.649094155993443e-5,49.65740251144041,51.45857716427148,168.52663108633794,5.263163174263323,131.47336924642843,6.362875330244056e-6,59.37220010262072,281.63067889290284,367.7630987455142,50.000009782297674,5094.5724279067,99.99999190902135,716.7131988733066,137.5,942.6302901223695,342.39382551563216,39.44201077392853,321.79271140232487,1.026586944691004e-6,1.1449952372864997e-10,6.159521668146026e-7,92.34363667646788,0.0,101.11597865180276,300.0000003327664,30.23419720812434,107.99998200810869,50.00001448355585,53.644187399869786,3.222784461834669,4.31237924861125e-6,479.9999826282299,1.4908580384249734e-6,1235.5296995939198,188.5260583299142,30497.698963292747,4.9472824679803237e-5,2.9098472911802327e-6,60.39360268925493,947.3669891695112,576.325420848817,1.0008641981232148e-5,177.75216439366517,225.0
6,2.1602821617659468e-6,48.42142579639675,12.81419330811412,102.05936710338997,5.26323698287826,197.94062893928296,5.062549969236364e-6,151.04192400742673,197.67383957827195,407.76321748310005,50.000003284205455,5136.960745908535,9.08080526914084e-6,2.978609302791167e-5,162.5,296.91109234105494,425.51937615216934,59.38218868178488,356.7928152977125,1.1032210947938058e-6,1.254981605188306e-10,6.61932656876283e-7,92.19781906823921,0.0,61.235620262033976,299.99999604267293,47.1935843600792,80.00001797167442,52.061656369630526,53.10774292486787,6.428996056691866e-6,5.116851978259721e-6,340.0000173218086,2.230719944613661e-6,342.3590177146408,59.38221875318123,31178.176000552503,6.480846485297837e-6,5.140134676130438e-6,201.7644916324941,229.90121528937902,224.91560485052352,1.2370847095193813e-5,197.08555511683167,240.0
7,2.5812031435303494e-6,51.15958793289548,3.818339926474584e-5,85.26604653631723,14.642873246762662,21.939392111885873,4.716171175738962e-6,213.42900745693774,114.04446256268369,457.1428533758944,50.000065067574944,5135.6168639086245,5.517823505350847e-6,1.9086766415894074e-5,187.5,310.49735633565894,395.3109974988713,6.581817633565762,399.9999967039075,1.1135121848132073e-6,111.26046770332628,6.681073108879252e-7,97.2768814869007,0.0,51.15962792179034,107.20543864820311,54.14284098004921,96.00001080567785,51.02042393911609,52.57666502762861,6.232642507118368e-6,5.408154595143476e-6,360.00001014572706,2.6539436767473267e-6,311.647466786603,62.099471546059426,31057.117335359097,7.743609430591058e-6,5.0812136824697704e-6,432.42815156301305,311.6474620717836,1.0104154454670432e-5,1.1352897917168539e-5,220.95237913168225,255.0
8,6.814701750613998,51.38659101968012,11.921015567811661,105.51268719306529,1.0216640301745678e-5,33.88243040830823,3.576656579154199e-6,260.81245408019385,103.07118008629698,457.14285673937184,58.910776194823114,5119.374049798009,3.3950816999896594e-5,47.01215668693027,212.5,363.75221599528885,352.6251983005898,10.16472912249247,399.99999964695024,1.0738845926571265e-6,216.94187131661025,6.443307555942755e-7,105.95240912007004,0.0,63.30761231583917,139.39511760137353,56.95223049984735,120.00006761296942,50.00001603269817,52.050898550708474,1.0526281225509129,8.231119377020648e-6,380.0000669647667,1.8881076670260206e-6,363.752218801063,72.75044349120755,30797.660463508055,20.444105251841993,2.7868303458138932e-6,682.2353154199589,363.75221744187087,3.1251727962742796e-6,2.868637700242316,220.95238075736302,270.0
9,17.61218989409866,54.256850902902556,0.0002430777948528762,90.42850539489568,5.263091507501356,38.94963979165928,3.1530261475595697e-6,285.8542665501749,88.56651737418765,457.14285555459475,50.00008964931508,5114.209396215866,0.6023793546531588,0.00012155165681528002,225.0,315.5351370598624,300.46273763992974,11.684891937497785,399.9999986102704,1.0611627673956332e-6,311.744903630179,6.366976604373805e-7,106.2675342142023,0.0,54.25710323693741,129.37814518655495,56.13297558239916,146.57908258944303,50.00000949496195,51.53039361986313,1.052632812183861,1.134810337865053e-5,441.9799689527733,1.7876401658834939e-6,315.5351446819923,63.10702770683451,30435.33143094301,52.83656968229597,2.811936135371133e-6,558.012757867426,315.53514401308206,1.6456304876526314e-6,9.30238111933344e-6,220.95238018472074,285.0
10,18.369790433418338,50.96510269315028,8.387111640151879,98.92039048503158,5.2631698688443915,36.67584495380941,2.751361173798776e-6,309.17344926505456,354.37816933970873,457.14285198037624,50.00000782452974,5097.3697466189415,99.99998247360475,8.411792416706286,212.5,311.3767145465935,243.8641427305484,11.00275348614282,399.99999548282915,1.0450856236145262e-6,390.91574471695003,6.270513741687157e-7,93.01530557994127,0.0,59.35223429101894,135.59623543884098,52.88784540886428,227.99996333788366,50.000007516704606,51.01509714538782,1.0526370875519155,2.1663992328335225e-5,599.9999639583892,1.6286369598859404e-6,311.3767234593518,62.275343209281495,30100.52389777421,55.10937130025502,2.8591511856801056e-6,337.93870532608116,311.37672296768653,1.2846428486061986e-6,9.458187584223155e-6,220.9523784571818,300.0
